25 Rue de Verdun,44000,Nantes,France
6 Cours Albert Thomas,69008,Lyon,France
5 Rue de la Préfecture,71000,Mâcon,France
Rue des battoirs 8,1203,Geneve,Suisse
Route de l'Aéroport 21,1215,Le Grand-Saconnex,Suisse
1 Rue du Chablais,74100,Annemasse,France
Quai d'Ouchy 1,1006,Lausanne,Suisse
14 Avenue Maréchal Foch,21000,Dijon,France
1 Rue de Cracovie,21000,Dijon,France
41 Boulevard Vauban,89000,Auxerre,France
1 Avenue du Colonel Henri Rol-Tanguy,75014,Paris,France
129 Rue de Grenelle,75007,Paris,France
1 Boulevard Poissonnière,75002,Paris,France
6 Avenue Jean Aicard,75011,Paris,France
Place Charles de Gaulle,75008,Paris,France
2 Boulevard du Palais, 75001,Paris,France
2 Rue Ambroise Paré,75010,Paris,France
10 Boulevard Montmartre,75009,Paris,France
9 place Luigi Chinetti,72100,Le Mans,France
16 Rue de l'Étoile,72000,Le Mans,France